date,DELA,arsltarmdcrresw,LENO,arsltarmdcrprcw,huyckpreserveny,arsgreatbasinltar098,laclaflamme,LIRO,NIWO
5/30/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/31/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
6/1/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/2/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/3/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/4/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/5/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/6/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/7/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/8/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/9/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/10/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/11/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/12/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/13/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/14/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/15/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/16/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/17/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/18/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/19/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/20/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/21/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/22/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/23/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,SNOW
6/24/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,SNOW
6/25/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/26/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/27/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,PARTIAL SNOW
6/28/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,
6/29/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,
6/30/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,
7/1/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/2/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/3/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/4/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/5/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/6/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/7/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/8/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/9/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/10/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/11/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/12/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/13/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/14/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/15/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/16/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/17/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/18/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/19/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/20/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/21/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/22/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/23/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/24/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/25/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/26/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/27/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/28/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/29/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/30/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
7/31/2019,,FLOOD,,DRY,FLOOD,DRY,FLOOD,FLOOD,DRY
8/1/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/2/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/3/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/4/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/5/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/6/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/7/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/8/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/9/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/10/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/11/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/12/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/13/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/14/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/15/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/16/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/17/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/18/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/19/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/20/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/21/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/22/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/23/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/24/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/25/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/26/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/27/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/28/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/29/2019,,FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/30/2019,,PARTIAL FLOOD,DRY,,FLOOD,DRY,FLOOD,,
8/31/2019,,PARTIAL FLOOD,DRY,,FLOOD,DRY,FLOOD,,
9/1/2019,,PARTIAL FLOOD,,,FLOOD,DRY,FLOOD,,
9/2/2019,,PARTIAL FLOOD,,,FLOOD,DRY,FLOOD,,
9/3/2019,,FLOOD,,,FLOOD,DRY,FLOOD,,
9/4/2019,,FLOOD,,,FLOOD,DRY,FLOOD,,
9/5/2019,,FLOOD,,,FLOOD,DRY,FLOOD,,
9/6/2019,,FLOOD,,,FLOOD,DRY,FLOOD,,
9/7/2019,,,,,FLOOD,DRY,FLOOD,,
9/8/2019,,,,,FLOOD,DRY,FLOOD,,
9/9/2019,,,,,FLOOD,DRY,FLOOD,,
9/10/2019,,PARTIAL FLOOD,,,FLOOD,DRY,FLOOD,,
9/11/2019,,PARTIAL FLOOD,,,FLOOD,DRY,FLOOD,,
9/12/2019,,PARTIAL FLOOD,,,FLOOD,DRY,FLOOD,,
9/13/2019,,PARTIAL FLOOD,,,FLOOD,DRY,FLOOD,,
9/14/2019,,PARTIAL FLOOD,,,FLOOD,DRY,FLOOD,,
9/15/2019,,PARTIAL FLOOD,,,FLOOD,DRY,FLOOD,,
9/16/2019,,PARTIAL FLOOD,,,FLOOD,DRY,FLOOD,,
9/17/2019,,PARTIAL FLOOD,,,FLOOD,DRY,FLOOD,,
9/18/2019,,PARTIAL FLOOD,,,FLOOD,DRY,FLOOD,,
9/19/2019,,PARTIAL FLOOD,,,FLOOD,DRY,FLOOD,,
9/20/2019,,,,,FLOOD,DRY,FLOOD,,
9/21/2019,,DRY,,,FLOOD,DRY,FLOOD,,
9/22/2019,,DRY,,,FLOOD,DRY,FLOOD,,
9/23/2019,,DRY,,,FLOOD,DRY,FLOOD,,
9/24/2019,,DRY,,,FLOOD,DRY,FLOOD,,
9/25/2019,,DRY,,,FLOOD,DRY,FLOOD,,
9/26/2019,,DRY,,,FLOOD,DRY,FLOOD,,
9/27/2019,,DRY,,,FLOOD,DRY,FLOOD,,
9/28/2019,,DRY,,,FLOOD,DRY,FLOOD,,
9/29/2019,,DRY,,,FLOOD,DRY,FLOOD,,
9/30/2019,,DRY,,,FLOOD,DRY,FLOOD,,
10/1/2019,,DRY,,,,,,,
10/2/2019,,DRY,,,,,,,
10/3/2019,,DRY,,,,,,,
10/4/2019,,DRY,,,,,,,
10/5/2019,,DRY,,,,,,,
10/6/2019,,DRY,,,,,,,
10/7/2019,,DRY,,,,,,,
10/8/2019,,DRY,,,,,,,
10/9/2019,,DRY,,,,,,,
10/10/2019,,DRY,,,,,,,
10/11/2019,,DRY,,,,,,,
10/12/2019,,DRY,,,,,,,
10/13/2019,,DRY,,,,,,,
10/14/2019,,DRY,,,,,,,
10/15/2019,,DRY,,,,,,,
10/16/2019,,DRY,,,,,,,
10/17/2019,,DRY,,,,,,,
10/18/2019,,DRY,,,,,,,
10/19/2019,,DRY,,,,,,,
10/20/2019,,,,,,,,,
10/21/2019,,,,,,,,,SNOW
10/22/2019,,,,,,,,,SNOW
10/23/2019,,,,,,,,,SNOW
10/24/2019,,,,,,,,,SNOW
10/25/2019,,,,,,,,,SNOW
10/26/2019,,,,,,,,,SNOW
10/27/2019,,,,,,,,,SNOW
10/28/2019,,,,,,,,,SNOW
10/29/2019,,,,,,,,,SNOW
10/30/2019,,,,,,,,,SNOW
10/31/2019,,,,,,,,,SNOW
11/1/2019,,,,,,,,,SNOW
11/2/2019,,,,,,,,,SNOW
11/3/2019,,,,,,,,,SNOW
11/4/2019,,,,,,,,,PARTIAL SNOW
11/5/2019,,,,,,,,,PARTIAL SNOW
11/6/2019,,,,,,,,,PARTIAL SNOW
11/7/2019,,,,,,,,,PARTIAL SNOW
11/8/2019,,,,,,,,,PARTIAL SNOW
11/9/2019,,,,,,,,,PARTIAL SNOW
11/10/2019,,,,,,,,,PARTIAL SNOW
11/11/2019,,,,,,,,,PARTIAL SNOW
11/12/2019,,,,,,,,,PARTIAL SNOW
11/13/2019,,,,,,,,,PARTIAL SNOW
11/14/2019,,,,,,,,,PARTIAL SNOW
11/15/2019,,,,,,,,,PARTIAL SNOW
11/16/2019,,,,,,,,,PARTIAL SNOW
11/17/2019,,,,,,,,,PARTIAL SNOW
11/18/2019,,,,,,,,,PARTIAL SNOW
11/19/2019,,,,,,,,,PARTIAL SNOW
11/20/2019,,,,,,,,,PARTIAL SNOW
11/21/2019,,,,,,,,,
11/22/2019,,,,,,,,,
11/23/2019,,,,,,,,,
11/24/2019,,,,,,,,,
11/25/2019,,,,,,,,,
11/26/2019,,,,,,,,,
11/27/2019,,,,,,,,,
11/28/2019,,,,,,,,,
11/29/2019,,,,,,,,,
11/30/2019,,,,,,,,,
12/1/2019,,,,,,,,,
12/2/2019,,,,,,,,,
12/3/2019,,,,,,,,,
12/4/2019,,,,,,,,,
12/5/2019,,,,,,,,,
12/6/2019,,,,,,,,,
12/7/2019,,,,,,,,,
12/8/2019,,,,,,,,,
12/9/2019,,,,,,,,,
12/10/2019,,,,,,,,,
12/11/2019,,,,,,,,,
12/12/2019,,,,,,,,,
12/13/2019,,,,,,,,,
12/14/2019,,,,,,,,,
12/15/2019,,,,,,,,,
12/16/2019,,,,,,,,,
12/17/2019,,,,,,,,,
12/18/2019,,,,,,,,,
12/19/2019,,,,,,,,,
12/20/2019,,,,,,,,,
12/21/2019,,,,,,,,,
12/22/2019,,,,,,,,,
12/23/2019,,,,,,,,,
12/24/2019,,,,,,,,,
12/25/2019,,,,,,,,,
12/26/2019,,,,,,,,,
12/27/2019,,,,,,,,,
12/28/2019,,,,,,,,,
12/29/2019,,,,,,,,,
12/30/2019,,,,,,,,,
12/31/2019,,,,,,,,,
